0,0,0,0,0,0,0,0,0.02,0.5,,,,,,,,,0,0
0.02,0.5,0.02,1,0.02,1,0.02,0.5,0.04,1,,,,,,,,,,
0.04,1,0.04,1.5,0.04,2,0.04,1.5,0.06,2,,,,,,,,,,
0.06,1.5,0.06,2.5,0.06,2.5,0.06,2,0.08,3,,,,,,,,,,
0.08,2,0.08,3,0.08,3.5,0.08,2.5,0.1,3.5,,,,,,,,,,
0.1,3,0.1,4,0.1,4,0.1,3,0.12,4.5,,,,,,,,,,
0.12,3.5,0.12,5,0.12,5,0.12,4,0.14,5.5,,,,,,,,,,
0.14,4,0.14,6,0.14,6,0.14,4.5,0.16,6,,,,,,,,,,
0.16,5,0.16,6.5,0.16,6.5,0.16,5.5,0.18,7,,,,,,,,,,
0.18,6,0.18,7.5,0.18,7.5,0.18,6,0.2,8,,,,,,,,,,
0.2,6.5,0.2,8.5,0.2,8.5,0.2,7,0.22,8.5,,,,,,,,,,
0.22,7,0.22,9,0.22,9,0.22,8,0.24,9.5,,,,,,,,,,
0.24,8,0.24,9.5,0.24,10,0.24,8.5,0.26,10,,,,,,,,,,
0.26,8.5,0.26,10.5,0.26,11,0.26,9,0.28,11,,,,,,,,,,
0.28,9.5,0.28,11.5,0.28,1.5,0.28,10,0.3,12,,,,,,,,,,
0.3,10,0.3,12,0.3,12.5,0.3,10.5,0.32,12.5,,,,,,,,,,
0.32,10.5,0.32,13,0.32,13,0.32,11.5,0.34,13,,,,,,,,,,
0.34,11.5,0.34,13.5,0.34,13,0.34,12,0.36,13,,,,,,,,,,
0.36,12,0.36,13.5,0.36,13,0.36,13,0.38,13,,,,,,,,,,
0.38,12.5,0.38,14,0.38,13,0.38,13,0.4,13,,,,,,,,,,
0.4,13,0.4,14,0.4,13,0.4,13,0.42,13,,,,,,,,,,
0.42,13,0.42,14,0.42,13,0.42,13,0.44,13,,,,,,,,,,
0.44,13,0.44,13.5,0.44,13,0.44,13,0.46,13,,,,,,,,,,
0.46,13,0.46,13.5,0.46,13,0.46,13,0.48,13,,,,,,,,,,
0.48,13,0.48,13.5,0.48,13,0.48,13,0.5,13,,,,,,,,,,
0.5,13,0.5,14,0.5,13,0.5,13,0.52,13.5,,,,,,,,,,
0.52,13,0.52,14,0.52,13,0.52,13.5,0.54,13.5,,,,,,,,,,
0.54,13,0.54,14,0.54,13,0.54,13.5,0.56,13.5,,,,,,,,,,
0.56,13.5,0.56,14,0.56,13,0.56,13.5,0.58,13.5,,,,,,,,,,
0.58,13.5,0.58,14,0.58,13,0.58,13.5,0.6,13.5,,,,,,,,,,
0.6,13.5,0.6,14,0.6,13,0.6,13.5,1.6,14,,,,,,,,,,
1.6,14,1.6,15,1.6,14,1.6,14.5,2.6,14.5,,,,,,,,,,
2.6,14.5,2.6,15.5,2.6,14.5,2.6,15,3.6,15,,,,,,,,,,
3.6,15,3.6,15.5,3.6,15,3.6,15.5,4.6,15.5,,,,,,,,,,
4.6,15,4.6,16,4.6,15,4.6,15.5,5.6,16,,,,,,,,,,
5.6,15.5,5.6,16,5.6,15.5,5.6,16,6.6,16,,,,,,,,,,
6.6,15.5,6.6,16,6.6,15.5,6.6,16,7.6,15.5,,,,,,,,,,
7.6,15,7.6,15.5,7.6,15,7.6,16,8.6,14.5,,,,,,,,,,
8.6,14,8.6,15,8.6,15,8.6,15.5,9.6,14.5,,,,,,,,,,
9.2,12.5,9.6,13.5,9.6,15,9.6,14.5,10.5,8,,,,,,,,,,
,,,,10.6,14,10.6,12.5,,,,,,,,,,,,
,,,,11.5,11.5,10.87,11.5,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
