0,0,0,0,0,0,0,0,0,0
0.02,0,0.02,0,0.02,0,0.02,2,0.02,0.5
0.04,0.5,0.04,0,0.04,0.5,0.04,2,0.04,0.5
0.06,1,0.06,0,0.06,0.5,0.06,2.5,0.06,1
0.08,1,0.08,0,0.08,1,0.08,3,0.08,1.5
0.1,1.5,0.1,0,0.1,1.5,0.1,3.5,0.1,1.5
0.12,2,0.12,0.5,0.12,1.5,0.12,4,0.12,2
0.14,2.5,0.14,1,0.14,2,0.14,4,0.14,2.5
0.16,2.5,0.16,1.5,0.16,2.5,0.16,4.5,0.16,3
0.18,3,0.18,1.5,0.18,3,0.18,5,0.18,3
0.2,3.5,0.2,2,0.2,3.5,0.2,5.5,0.2,3.5
0.22,3.5,0.22,2.5,0.22,4,0.22,6,0.22,4
0.24,4,0.24,3,0.24,4,0.24,6.5,0.24,4.5
0.26,4.5,0.26,3,0.26,4.5,0.26,6.5,0.26,4.5
0.28,5,0.28,3.5,0.28,5,0.28,7,0.28,5
0.3,5.5,0.3,4,0.3,5.5,0.3,7.5,0.3,5.5
0.32,5.5,0.32,4.5,0.32,6,0.32,8,0.32,6
0.34,6,0.34,5,0.34,6.5,0.34,8.5,0.34,6
0.36,6.5,0.36,5.5,0.36,6.5,0.36,9,0.36,6.5
0.38,7,0.38,6,0.38,7.5,0.38,9,0.38,7
0.4,7,0.4,6.5,0.4,8,0.4,9.5,0.4,7.5
0.42,7.5,0.42,7,0.42,8,0.42,9.5,0.42,8
0.44,7.5,0.44,7.5,0.44,8.5,0.44,9.5,0.44,8
0.46,8,0.46,7.5,0.46,9,0.46,9.5,0.46,8.5
0.48,8,0.48,8,0.48,9,0.48,9.5,0.48,9
0.5,8.5,0.5,8.5,0.5,9,0.5,9.5,0.5,9
0.52,8.5,0.52,9,0.52,9,0.52,9.5,0.52,9
0.54,8.5,0.54,9.5,0.54,9.5,0.54,9.5,0.54,9
0.56,8.5,0.56,10,0.56,9.5,0.56,10,0.56,9
0.58,8.5,0.58,10.5,0.58,9.5,0.58,10,0.58,9
0.6,8.5,0.6,10.5,0.6,9.5,0.6,10,0.6,9
1.6,9,1.6,11,1.6,9.5,1.6,10,1.6,9.50
2.6,9.5,2.6,11,2.6,9.5,2.6,10,2.6,9.5
3.6,9.5,3.6,10.5,3.6,10,3.6,10.5,3.6,10
4.6,9,4.6,8.5,4.6,9.5,4.6,10,4.6,9
5.6,7.5,5.6,6.5,5.6,8.5,5.6,8,5.6,8.5
5.8,7.5,,,6.6,7.5,5.68,8,,
